caseId,standName,destination,trustScore,compositeScore,hasRiskFlag,riskFlags
"bandra_to_pali_hill_seed","Bandra Station West","Linking Road","96","0.2254","false",""
"bandra_to_pali_hill_seed","Bandra Station West","Pali Hill","96","0.3138","false",""
"bandra_to_pali_hill_seed","Bandra Station West","Bandra Reclamation","81.7","0.4409","true","long_walk_from_drop"
"andheri_to_midc_seed","Andheri Station East","Marol Naka","91.4","0.2551","false",""
"andheri_to_midc_seed","Andheri Station East","MIDC","96","0.2566","false",""
"andheri_to_midc_seed","Andheri Station East","Chakala","92.7","0.3704","false",""
"dadar_to_shivaji_park_seed","Dadar TT (Tilak Nagar)","Shivaji Park","96","0.2571","false",""
"dadar_to_shivaji_park_seed","Dadar TT (Tilak Nagar)","Mahim","90.1","0.3624","true","long_walk_from_drop"
"dadar_to_shivaji_park_seed","Dadar TT (Tilak Nagar)","Parel","83.8","0.5106","true","long_walk_from_drop"
"kurla_to_kurla_market_seed","Kurla Station West","Kurla Market","96","0.1508","false",""
"kurla_to_kurla_market_seed","Kurla Station West","Nehru Nagar","93","0.3059","false",""
"kurla_to_kurla_market_seed","Kurla Station West","Bandra Kurla Complex","85.8","0.5149","true","long_walk_from_drop"
"malad_to_orlem_seed","Malad Station West","Malad Market","93.5","0.2184","false",""
"malad_to_orlem_seed","Malad Station West","Orlem","96","0.2342","false",""
"malad_to_orlem_seed","Malad Station West","Goregaon Link Road","79.2","0.4707","true","long_walk_from_drop"
"powai_to_iit_bombay_night_seed","Powai Market","IIT Bombay","96","0.2775","false",""
"powai_to_iit_bombay_night_seed","Powai Market","Hiranandani","73.7","0.4198","true","long_walk_from_drop|night_first_last_mile"
"powai_to_iit_bombay_night_seed","Powai Market","Chandivali","60","0.73","true","long_walk_from_drop|night_first_last_mile"
"ghatkopar_to_vikhroli_night_seed","Ghatkopar Station East","Vikhroli","96","0.3957","false",""
"ghatkopar_to_vikhroli_night_seed","Ghatkopar Station East","Asalpha","61.7","0.6261","true","long_walk_from_drop|night_first_last_mile"
"ghatkopar_to_vikhroli_night_seed","Vikhroli Station West","Vikhroli Park Site","58.1","0.7774","true","long_walk_to_stand|night_first_last_mile"
